BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.4,0.05,2,0,3,1,-2,1.575,0.625,-0.525,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.625,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.625,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.675,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.675,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.725,-0.525,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.725,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.725,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.775,-0.525,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.775,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.775,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,0,-2,1.625,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,0,-2,1.625,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,0,-2,1.625,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.275,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.325,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.975,0.375,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.075,0.486275,0.537255,0.537255,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.125,0.498039,0.552941,0.552941,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.175,0.505882,0.556863,0.564706,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.225,0.521569,0.572549,0.580392,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.275,0.52549,0.584314,0.592157,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.325,0.509804,0.572549,0.584314,1
0.4,0.05,2,0,4,-3,0,1.625,-0.925,0.375,0.545098,0.603922,0.615686,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.075,0.494118,0.537255,0.541176,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.125,0.501961,0.54902,0.545098,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.175,0.501961,0.552941,0.560784,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.225,0.517647,0.568627,0.568627,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.275,0.517647,0.576471,0.576471,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.325,0.513726,0.572549,0.580392,1
0.4,0.05,2,0,4,-3,0,1.625,-0.875,0.375,0.521569,0.584314,0.592157,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.025,0.490196,0.52549,0.533333,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.075,0.498039,0.533333,0.541176,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.125,0.505882,0.545098,0.545098,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.175,0.513726,0.556863,0.560784,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.225,0.509804,0.560784,0.560784,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.275,0.517647,0.568627,0.576471,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.325,0.517647,0.568627,0.576471,1
0.4,0.05,2,0,4,-3,0,1.625,-0.825,0.375,0.505882,0.560784,0.568627,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.275,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.325,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-1.025,0.375,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.125,0.509804,0.564706,0.568627,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.175,0.521569,0.576471,0.584314,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.225,0.545098,0.6,0.611765,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.275,0.537255,0.6,0.615686,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.325,0.517647,0.576471,0.592157,1
0.4,0.05,2,0,4,-3,0,1.675,-0.975,0.375,0.54902,0.607843,0.623529,1
